timestamp,temperature_c,building_type,occupants,ac_usage,appliance_usage,peak_hour,consumption_kwh,is_anomaly
2023-01-01 00:00:00,-0.2,office,0,0.15,1.05,0,3.652,0
2023-01-01 01:00:00,-1.7,office,0,0.33,1.01,0,3.025,0
2023-01-01 02:00:00,-0.7,office,0,0.32,1.12,0,4.328,0
2023-01-01 03:00:00,0.8,office,0,0.1,0.31,0,2.665,0
2023-01-01 04:00:00,-1.3,office,0,0.02,0.66,0,2.763,0
2023-01-01 05:00:00,-0.5,office,0,0.22,0.76,0,3.034,0
2023-01-01 06:00:00,3.2,office,0,0.28,0.54,0,2.73,0
2023-01-01 07:00:00,3.2,office,0,0.44,0.42,0,3.571,0
2023-01-01 08:00:00,2.6,office,0,0.46,1.38,1,5.03,0
2023-01-01 09:00:00,5.5,office,0,0.26,1.68,1,4.283,0
2023-01-01 10:00:00,5.2,office,0,0.38,1.84,1,5.294,0
2023-01-01 11:00:00,6.2,office,0,0.22,0.28,0,2.059,0
2023-01-01 12:00:00,8.0,office,0,0.37,1.43,0,4.404,0
2023-01-01 13:00:00,5.3,office,0,0.1,1.19,0,3.718,0
2023-01-01 14:00:00,5.8,office,0,0.19,1.15,0,4.121,0
2023-01-01 15:00:00,7.3,office,0,0.32,0.42,0,2.682,0
2023-01-01 16:00:00,6.2,office,0,0.01,0.98,0,3.338,0
2023-01-01 17:00:00,7.4,office,0,0.36,1.89,1,4.776,0
2023-01-01 18:00:00,4.5,office,0,0.42,2.48,1,5.464,0
2023-01-01 19:00:00,2.5,office,0,0.2,2.17,1,4.939,0
2023-01-01 20:00:00,5.5,office,0,0.22,1.95,1,4.987,0
2023-01-01 21:00:00,1.7,office,0,0.66,2.22,0,13.101,1
2023-01-01 22:00:00,0.9,office,0,0.39,0.4,0,2.491,0
2023-01-01 23:00:00,-2.3,office,0,0.14,0.22,0,2.743,0
2023-01-02 00:00:00,-1.9,office,0,0.16,1.1,0,3.948,0
2023-01-02 01:00:00,-1.4,office,0,0.34,0.33,0,3.178,0
2023-01-02 02:00:00,-3.4,office,0,0.28,0.35,0,3.657,0
2023-01-02 03:00:00,-1.0,office,0,0.08,1.17,0,3.775,0
2023-01-02 04:00:00,-1.9,office,0,0.15,0.55,0,2.063,0
2023-01-02 05:00:00,-0.7,office,0,0.45,1.02,0,4.209,0
2023-01-02 06:00:00,-0.1,office,0,0.34,1.39,0,3.617,0
2023-01-02 07:00:00,4.8,office,8,0.65,1.01,0,3.696,0
2023-01-02 08:00:00,3.3,office,31,2.29,7.24,1,28.302,1
2023-01-02 09:00:00,3.0,office,77,2.01,5.19,1,9.278,0
2023-01-02 10:00:00,7.0,office,47,1.05,3.72,1,8.9,0
2023-01-02 11:00:00,5.0,office,45,1.29,2.53,0,6.585,0
2023-01-02 12:00:00,7.9,office,44,0.89,2.51,0,5.084,0
2023-01-02 13:00:00,5.2,office,38,1.1,2.66,0,5.077,0
2023-01-02 14:00:00,6.3,office,77,1.77,4.47,0,8.567,0
2023-01-02 15:00:00,8.4,office,36,0.89,2.92,0,7.508,0
2023-01-02 16:00:00,8.7,office,73,1.89,4.98,0,8.588,0
2023-01-02 17:00:00,7.1,office,77,1.97,6.07,1,10.807,0
2023-01-02 18:00:00,5.6,office,7,0.15,2.24,1,4.644,0
2023-01-02 19:00:00,4.1,office,18,1.96,4.86,1,23.715,1
2023-01-02 20:00:00,1.1,office,0,0.18,2.12,1,4.682,0
2023-01-02 21:00:00,0.9,office,0,0.21,0.67,0,3.145,0
2023-01-02 22:00:00,0.1,office,0,0.42,0.31,0,3.525,0
